t , x , y
0.0 , -0.0 , 23.0
0.1 , -0.21 , 23.16
0.2 , -0.42 , 23.23
0.3 , -0.64 , 23.2
0.4 , -0.85 , 23.06
0.5 , -1.06 , 22.84
0.6 , -1.27 , 22.51
0.7 , -1.48 , 22.08
0.8 , -1.7 , 21.56
0.9 , -1.91 , 20.94
1.0 , -2.12 , 20.22
1.1 , -2.33 , 19.4
1.2 , -2.55 , 18.49
1.3 , -2.76 , 17.48
1.4 , -2.97 , 16.37
1.5 , -3.18 , 15.16
1.6 , -3.39 , 13.85
1.7 , -3.61 , 12.45
1.8 , -3.82 , 10.94
1.9 , -4.03 , 9.34
2.0 , -4.24 , 7.64
2.1 , -4.45 , 5.85
2.2 , -4.67 , 3.95
2.3 , -4.88 , 1.96
2.4 , -5.09 , -0.13
